Species_Name,Date(MM/DD/YYYY),Julien_Day,Num_Flowers,Contributor_ID,
Tulip,01/01/1994,200,3,0,
Tulip,01/01/1995,195,4,0,
Tulip,01/01/1996,150,5,0,
Tulip,01/01/1997,185,6,0,
Tulip,01/01/1998,190,7,0,
Tulip,01/01/1999,175,8,1,
Tulip,01/01/2000,190,9,0,
Tulip,01/01/2001,165,10,0,
Tulip,01/01/2002,180,11,0,
Tulip,01/01/2003,155,12,0,
Tulip,01/01/2004,160,13,1,
Tulip,01/01/2005,175,14,0,
Tulip,01/01/2006,140,15,0,
Tulip,01/01/2007,138,16,0,
Tulip,01/01/2008,150,17,0,
Tulip,01/01/2009,125,18,0,
Tulip,01/01/2010,160,19,0,
Tulip,01/01/2011,125,20,0,
Tulip,01/01/2012,80,21,0,
Tulip,01/01/2013,95,22,0,
